,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HTGS,ATGS,HTGC,ATGC,HHGS,AHGS,HHGC,AHGC,HTP,ATP,HM1,AM1,HM2,AM2,HM3,AM3,HM4,AM4,HM5,AM5,MW
0,2024-08-23,M'gladbach,Leverkusen,2.0,3.0,A,0.0,2.0,A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,M,M,M,M,M,M,M,M,M,M,1
1,2024-08-24,RB Leipzig,Bochum,1.0,0.0,H,0.0,0.0,D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,M,M,M,M,M,M,M,M,M,M,1
2,2024-08-24,Hoffenheim,Holstein Kiel,3.0,2.0,H,2.0,0.0,H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,M,M,M,M,M,M,M,M,M,M,1
3,2024-08-24,Freiburg,Stuttgart,3.0,1.0,H,1.0,1.0,D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,M,M,M,M,M,M,M,M,M,M,1
4,2024-08-24,Augsburg,Bremen,2.0,2.0,D,2.0,1.0,H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,M,M,M,M,M,M,M,M,M,M,1
5,2024-08-24,Mainz,Union Berlin,1.0,1.0,D,0.0,0.0,D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,M,M,M,M,M,M,M,M,M,M,1
6,2024-08-24,Dortmund,Frankfurt,2.0,0.0,H,0.0,0.0,D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,M,M,M,M,M,M,M,M,M,M,1
7,2024-08-25,Wolfsburg,Bayern,2.0,3.0,A,0.0,1.0,A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,M,M,M,M,M,M,M,M,M,M,1
8,2024-08-25,St. Pauli,Heidenheim,0.0,2.0,A,0.0,0.0,D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,M,M,M,M,M,M,M,M,M,M,1
9,2024-08-30,Union Berlin,St. Pauli,1.0,0.0,H,1.0,0.0,H,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1,0,M,M,M,M,M,M,M,M,M,M,2
10,2024-08-31,Stuttgart,Mainz,3.0,3.0,D,2.0,1.0,H,1.0,1.0,3.0,1.0,1.0,0.0,1.0,0.0,0,1,L,D,M,M,M,M,M,M,M,M,2
11,2024-08-31,Frankfurt,Hoffenheim,3.0,1.0,H,2.0,0.0,H,0.0,3.0,2.0,2.0,0.0,2.0,0.0,0.0,0,3,L,W,M,M,M,M,M,M,M,M,2
12,2024-08-31,Bremen,Dortmund,0.0,0.0,D,0.0,0.0,D,2.0,2.0,2.0,0.0,1.0,0.0,2.0,0.0,1,3,D,W,M,M,M,M,M,M,M,M,2
13,2024-08-31,Bochum,M'gladbach,0.0,2.0,A,0.0,0.0,D,0.0,2.0,1.0,3.0,0.0,0.0,0.0,2.0,0,0,L,L,M,M,M,M,M,M,M,M,2
14,2024-08-31,Holstein Kiel,Wolfsburg,0.0,2.0,A,0.0,2.0,A,2.0,2.0,3.0,3.0,0.0,0.0,2.0,1.0,0,0,L,L,M,M,M,M,M,M,M,M,2
15,2024-08-31,Leverkusen,RB Leipzig,2.0,3.0,A,2.0,1.0,H,3.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,3,3,W,W,M,M,M,M,M,M,M,M,2
16,2024-09-01,Heidenheim,Augsburg,4.0,0.0,H,2.0,0.0,H,2.0,2.0,0.0,2.0,0.0,2.0,0.0,1.0,3,1,W,D,M,M,M,M,M,M,M,M,2
17,2024-09-01,Bayern,Freiburg,2.0,0.0,H,1.0,0.0,H,3.0,3.0,2.0,1.0,1.0,1.0,0.0,1.0,3,3,W,W,M,M,M,M,M,M,M,M,2
18,2024-09-13,Dortmund,Heidenheim,4.0,2.0,H,3.0,1.0,H,2.0,6.0,0.0,0.0,0.0,2.0,0.0,0.0,4,6,D,W,M,M,M,M,M,M,M,M,3
19,2024-09-14,RB Leipzig,Union Berlin,0.0,0.0,D,0.0,0.0,D,4.0,2.0,2.0,1.0,1.0,1.0,2.0,0.0,6,4,W,W,M,M,M,M,M,M,M,M,3
20,2024-09-14,Hoffenheim,Leverkusen,1.0,4.0,A,1.0,2.0,A,4.0,5.0,5.0,5.0,2.0,4.0,2.0,1.0,3,3,L,L,W,W,M,M,M,M,M,M,3
21,2024-09-14,Freiburg,Bochum,2.0,1.0,H,0.0,1.0,A,3.0,0.0,3.0,3.0,1.0,0.0,2.0,0.0,3,0,L,L,W,L,M,M,M,M,M,M,3
22,2024-09-14,Wolfsburg,Frankfurt,1.0,2.0,A,0.0,1.0,A,4.0,3.0,3.0,3.0,2.0,2.0,1.0,0.0,3,3,W,W,L,L,M,M,M,M,M,M,3
23,2024-09-14,M'gladbach,Stuttgart,1.0,3.0,A,1.0,1.0,D,4.0,4.0,3.0,6.0,0.0,3.0,2.0,2.0,3,1,W,D,L,L,M,M,M,M,M,M,3
24,2024-09-14,Holstein Kiel,Bayern,1.0,6.0,A,0.0,4.0,A,2.0,5.0,5.0,2.0,0.0,2.0,4.0,0.0,0,6,L,W,L,W,M,M,M,M,M,M,3
25,2024-09-15,Augsburg,St. Pauli,3.0,1.0,H,0.0,0.0,D,2.0,0.0,6.0,3.0,2.0,0.0,3.0,1.0,1,0,L,L,D,L,M,M,M,M,M,M,3
26,2024-09-15,Mainz,Bremen,1.0,2.0,A,1.0,1.0,D,4.0,2.0,4.0,2.0,1.0,1.0,2.0,2.0,2,2,D,D,D,D,M,M,M,M,M,M,3
27,2024-09-20,Augsburg,Mainz,2.0,3.0,A,1.0,2.0,A,5.0,5.0,7.0,6.0,2.0,2.0,3.0,3.0,4,2,W,L,L,D,M,M,M,M,M,M,4
28,2024-09-21,Heidenheim,Freiburg,0.0,3.0,A,0.0,0.0,D,8.0,5.0,4.0,4.0,3.0,1.0,3.0,3.0,6,6,L,W,W,L,M,M,M,M,M,M,4
29,2024-09-21,Bremen,Bayern,0.0,5.0,A,0.0,2.0,A,4.0,11.0,3.0,3.0,2.0,6.0,3.0,0.0,5,9,W,W,D,W,M,M,M,M,M,M,4
30,2024-09-21,Union Berlin,Hoffenheim,2.0,1.0,H,2.0,0.0,H,2.0,5.0,1.0,9.0,1.0,3.0,0.0,4.0,5,3,D,L,W,L,D,W,M,M,M,M,4
31,2024-09-21,Bochum,Holstein Kiel,2.0,2.0,D,2.0,1.0,H,1.0,3.0,5.0,11.0,1.0,0.0,0.0,8.0,0,0,L,L,L,L,L,L,M,M,M,M,4
32,2024-09-21,Frankfurt,M'gladbach,2.0,0.0,H,1.0,0.0,H,5.0,5.0,4.0,6.0,3.0,1.0,0.0,3.0,6,3,W,L,W,W,L,L,M,M,M,M,4
33,2024-09-22,Leverkusen,Wolfsburg,4.0,3.0,H,2.0,3.0,A,9.0,5.0,6.0,5.0,6.0,2.0,2.0,2.0,6,3,W,L,L,W,W,L,M,M,M,M,4
34,2024-09-22,Stuttgart,Dortmund,5.0,1.0,H,2.0,0.0,H,7.0,6.0,7.0,2.0,4.0,3.0,3.0,1.0,4,7,W,W,D,D,L,W,M,M,M,M,4
35,2024-09-22,St. Pauli,RB Leipzig,0.0,0.0,D,0.0,0.0,D,1.0,4.0,6.0,2.0,0.0,1.0,1.0,2.0,0,7,L,D,L,W,L,W,M,M,M,M,4
36,2024-09-27,Dortmund,Bochum,4.0,2.0,H,1.0,2.0,A,7.0,3.0,7.0,7.0,3.0,3.0,3.0,1.0,7,1,L,D,W,L,D,L,M,M,M,M,5
37,2024-09-28,RB Leipzig,Augsburg,4.0,0.0,H,2.0,0.0,H,4.0,7.0,2.0,10.0,1.0,3.0,2.0,5.0,8,4,D,L,D,W,W,L,M,M,M,M,5
38,2024-09-28,Freiburg,St. Pauli,0.0,3.0,A,0.0,2.0,A,8.0,1.0,4.0,6.0,1.0,0.0,3.0,1.0,9,1,W,D,W,L,L,L,M,M,M,M,5
39,2024-09-28,Wolfsburg,Stuttgart,2.0,2.0,D,1.0,1.0,D,8.0,12.0,9.0,8.0,5.0,6.0,4.0,3.0,3,7,L,W,L,W,W,D,M,M,M,M,5
40,2024-09-28,Mainz,Heidenheim,0.0,2.0,A,0.0,1.0,A,8.0,8.0,8.0,7.0,4.0,3.0,4.0,3.0,5,6,W,L,L,L,D,W,D,W,M,M,5
41,2024-09-28,M'gladbach,Union Berlin,1.0,0.0,H,0.0,0.0,D,5.0,4.0,8.0,2.0,1.0,3.0,4.0,0.0,3,8,L,W,L,D,W,W,L,D,M,M,5
42,2024-09-28,Bayern,Leverkusen,1.0,1.0,D,1.0,1.0,D,16.0,13.0,3.0,9.0,8.0,8.0,0.0,5.0,12,9,W,W,W,W,W,L,W,W,M,M,5
43,2024-09-29,Holstein Kiel,Frankfurt,2.0,4.0,A,1.0,1.0,D,5.0,7.0,13.0,4.0,1.0,4.0,10.0,0.0,1,9,D,W,L,W,L,W,L,L,M,M,5
44,2024-09-29,Hoffenheim,Bremen,3.0,4.0,A,3.0,3.0,D,6.0,4.0,11.0,8.0,3.0,2.0,6.0,5.0,3,5,L,L,L,W,L,D,W,D,M,M,5
45,2024-10-04,Augsburg,M'gladbach,2.0,1.0,H,1.0,0.0,H,7.0,6.0,14.0,8.0,3.0,1.0,7.0,4.0,4,6,L,W,L,L,W,L,L,W,M,M,6
46,2024-10-05,Leverkusen,Holstein Kiel,2.0,2.0,D,2.0,1.0,H,14.0,7.0,10.0,17.0,9.0,2.0,6.0,11.0,10,1,D,L,W,D,W,L,L,L,M,M,6
47,2024-10-05,Bremen,Freiburg,0.0,1.0,A,0.0,0.0,D,8.0,8.0,11.0,7.0,5.0,1.0,8.0,5.0,8,9,W,L,L,W,W,W,D,L,M,M,6
48,2024-10-05,Union Berlin,Dortmund,2.0,1.0,H,2.0,0.0,H,4.0,11.0,3.0,9.0,3.0,4.0,0.0,5.0,8,10,L,W,W,L,D,W,W,D,M,M,6
49,2024-10-05,Bochum,Wolfsburg,1.0,3.0,A,0.0,2.0,A,5.0,10.0,11.0,11.0,5.0,6.0,2.0,5.0,1,4,L,D,D,L,L,L,L,W,M,M,6
50,2024-10-05,St. Pauli,Mainz,0.0,3.0,A,0.0,2.0,A,4.0,8.0,6.0,10.0,2.0,4.0,1.0,5.0,4,5,W,L,D,W,L,L,L,D,L,D,6
