,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HTGS,ATGS,HTGC,ATGC,HHGS,AHGS,HHGC,AHGC,HTP,ATP,HM1,AM1,HM2,AM2,HM3,AM3,HM4,AM4,HM5,AM5,HTFormPts,ATFormPts,HTWinStreak3,HTWinStreak5,HTLossStreak3,HTLossStreak5,ATWinStreak3,ATWinStreak5,ATLossStreak3,ATLossStreak5,HTGD,ATGD,HHGD,AHGD,DiffPts,DiffFormPts
0,2024-08-16,Le Havre,Paris SG,-0.426355170261668,2.1105488243063406,2,-0.8110365095235971,0.4373125441673211,2,-1.4208669299440606,-1.4002188722507558,-1.458205589986303,-1.4610900363314847,-1.3979642204802138,-1.3753725544125435,-1.3873163010030691,-1.386588066485213,-2.085886190970475,-2.180198879738905,M,M,M,M,M,M,M,M,M,M,-1.6056913974544889,-1.697480864568402,-0.23807595834800252,-0.12475657231036107,-0.30339777389595485,-0.15339299776947407,-0.2289527349448127,-0.10783277320343843,-0.2721655269759087,-0.15339299776947407,0.02027843521498709,-0.018428791891092557,0.011407753272317276,-0.011139269072728516,0.03933868429440588,0.04748173163679326
1,2024-08-17,Brest,Marseille,-0.426355170261668,2.9218201691427983,2,0.4125503632258759,2.9185858925949475,2,-1.4208669299440606,-1.4002188722507558,-1.458205589986303,-1.4610900363314847,-1.3979642204802138,-1.3753725544125435,-1.3873163010030691,-1.386588066485213,-2.085886190970475,-2.180198879738905,M,M,M,M,M,M,M,M,M,M,-1.6056913974544889,-1.697480864568402,-0.23807595834800252,-0.12475657231036107,-0.30339777389595485,-0.15339299776947407,-0.2289527349448127,-0.10783277320343843,-0.2721655269759087,-0.15339299776947407,0.02027843521498709,-0.018428791891092557,0.011407753272317276,-0.011139269072728516,0.03933868429440588,0.04748173163679326
2,2024-08-17,Reims,Lille,-1.173192079243516,0.48800613463342474,2,-0.8110365095235971,0.4373125441673211,2,-1.4208669299440606,-1.4002188722507558,-1.458205589986303,-1.4610900363314847,-1.3979642204802138,-1.3753725544125435,-1.3873163010030691,-1.386588066485213,-2.085886190970475,-2.180198879738905,M,M,M,M,M,M,M,M,M,M,-1.6056913974544889,-1.697480864568402,-0.23807595834800252,-0.12475657231036107,-0.30339777389595485,-0.15339299776947407,-0.2289527349448127,-0.10783277320343843,-0.2721655269759087,-0.15339299776947407,0.02027843521498709,-0.018428791891092557,0.011407753272317276,-0.011139269072728516,0.03933868429440588,0.04748173163679326
3,2024-08-17,Monaco,St Etienne,-0.426355170261668,-1.1345365550394908,1,0.4125503632258759,-0.8033241300464922,1,-1.4208669299440606,-1.4002188722507558,-1.458205589986303,-1.4610900363314847,-1.3979642204802138,-1.3753725544125435,-1.3873163010030691,-1.386588066485213,-2.085886190970475,-2.180198879738905,M,M,M,M,M,M,M,M,M,M,-1.6056913974544889,-1.697480864568402,-0.23807595834800252,-0.12475657231036107,-0.30339777389595485,-0.15339299776947407,-0.2289527349448127,-0.10783277320343843,-0.2721655269759087,-0.15339299776947407,0.02027843521498709,-0.018428791891092557,0.011407753272317276,-0.011139269072728516,0.03933868429440588,0.04748173163679326
4,2024-08-18,Auxerre,Nice,0.32048173872018004,-0.323265210203033,1,0.4125503632258759,0.4373125441673211,0,-1.4208669299440606,-1.4002188722507558,-1.458205589986303,-1.4610900363314847,-1.3979642204802138,-1.3753725544125435,-1.3873163010030691,-1.386588066485213,-2.085886190970475,-2.180198879738905,M,M,M,M,M,M,M,M,M,M,-1.6056913974544889,-1.697480864568402,-0.23807595834800252,-0.12475657231036107,-0.30339777389595485,-0.15339299776947407,-0.2289527349448127,-0.10783277320343843,-0.2721655269759087,-0.15339299776947407,0.02027843521498709,-0.018428791891092557,0.011407753272317276,-0.011139269072728516,0.03933868429440588,0.04748173163679326
5,2024-08-18,Angers,Lens,-1.173192079243516,-0.323265210203033,2,-0.8110365095235971,0.4373125441673211,2,-1.4208669299440606,-1.4002188722507558,-1.458205589986303,-1.4610900363314847,-1.3979642204802138,-1.3753725544125435,-1.3873163010030691,-1.386588066485213,-2.085886190970475,-2.180198879738905,M,M,M,M,M,M,M,M,M,M,-1.6056913974544889,-1.697480864568402,-0.23807595834800252,-0.12475657231036107,-0.30339777389595485,-0.15339299776947407,-0.2289527349448127,-0.10783277320343843,-0.2721655269759087,-0.15339299776947407,0.02027843521498709,-0.018428791891092557,0.011407753272317276,-0.011139269072728516,0.03933868429440588,0.04748173163679326
6,2024-08-18,Montpellier,Strasbourg,-0.426355170261668,-0.323265210203033,0,-0.8110365095235971,-0.8033241300464922,0,-1.4208669299440606,-1.4002188722507558,-1.458205589986303,-1.4610900363314847,-1.3979642204802138,-1.3753725544125435,-1.3873163010030691,-1.386588066485213,-2.085886190970475,-2.180198879738905,M,M,M,M,M,M,M,M,M,M,-1.6056913974544889,-1.697480864568402,-0.23807595834800252,-0.12475657231036107,-0.30339777389595485,-0.15339299776947407,-0.2289527349448127,-0.10783277320343843,-0.2721655269759087,-0.15339299776947407,0.02027843521498709,-0.018428791891092557,0.011407753272317276,-0.011139269072728516,0.03933868429440588,0.04748173163679326
7,2024-08-18,Toulouse,Nantes,-1.173192079243516,-1.1345365550394908,0,-0.8110365095235971,-0.8033241300464922,0,-1.4208669299440606,-1.4002188722507558,-1.458205589986303,-1.4610900363314847,-1.3979642204802138,-1.3753725544125435,-1.3873163010030691,-1.386588066485213,-2.085886190970475,-2.180198879738905,M,M,M,M,M,M,M,M,M,M,-1.6056913974544889,-1.697480864568402,-0.23807595834800252,-0.12475657231036107,-0.30339777389595485,-0.15339299776947407,-0.2289527349448127,-0.10783277320343843,-0.2721655269759087,-0.15339299776947407,0.02027843521498709,-0.018428791891092557,0.011407753272317276,-0.011139269072728516,0.03933868429440588,0.04748173163679326
8,2024-08-18,Rennes,Lyon,1.0673186477020282,-1.1345365550394908,1,1.636137235975349,-0.8033241300464922,1,-1.4208669299440606,-1.4002188722507558,-1.458205589986303,-1.4610900363314847,-1.3979642204802138,-1.3753725544125435,-1.3873163010030691,-1.386588066485213,-2.085886190970475,-2.180198879738905,M,M,M,M,M,M,M,M,M,M,-1.6056913974544889,-1.697480864568402,-0.23807595834800252,-0.12475657231036107,-0.30339777389595485,-0.15339299776947407,-0.2289527349448127,-0.10783277320343843,-0.2721655269759087,-0.15339299776947407,0.02027843521498709,-0.018428791891092557,0.011407753272317276,-0.011139269072728516,0.03933868429440588,0.04748173163679326
9,2024-08-23,Paris SG,Montpellier,3.3078293746475724,-1.1345365550394908,1,1.636137235975349,-0.8033241300464922,1,-1.144064340867442,-1.3332608059888562,-1.3882824485226937,-1.3904314297940532,-1.249038236175995,-1.3753725544125435,-1.3873163010030691,-1.386588066485213,0.5637533696073959,-1.2779173911427526,M,M,M,M,M,M,M,M,M,M,-1.6056913974544889,-1.697480864568402,-0.23807595834800252,-0.12475657231036107,-0.30339777389595485,-0.15339299776947407,-0.2289527349448127,-0.10783277320343843,-0.2721655269759087,-0.15339299776947407,1.7151907945433458,-0.018428791891092557,1.029815793290455,-0.011139269072728516,1.4798928189204719,0.04748173163679326
