,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HTGS,ATGS,HTGC,ATGC,HHGS,AHGS,HHGC,AHGC,HTP,ATP,HM1,AM1,HM2,AM2,HM3,AM3,HM4,AM4,HM5,AM5,MW
0,2024-08-16,Le Havre,PSG,1.0,4.0,A,0.0,1.0,A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,M,M,M,M,M,M,M,M,M,M,1
1,2024-08-17,Brest,Marseille,1.0,5.0,A,1.0,3.0,A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,M,M,M,M,M,M,M,M,M,M,1
2,2024-08-17,Stade de Reims,Lille,0.0,2.0,A,0.0,1.0,A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,M,M,M,M,M,M,M,M,M,M,1
3,2024-08-17,Monaco,Saint-Étienne,1.0,0.0,H,1.0,0.0,H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,M,M,M,M,M,M,M,M,M,M,1
4,2024-08-18,Auxerre,Nice,2.0,1.0,H,1.0,1.0,D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,M,M,M,M,M,M,M,M,M,M,1
5,2024-08-18,Montpellier,Strasbourg,1.0,1.0,D,0.0,0.0,D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,M,M,M,M,M,M,M,M,M,M,1
6,2024-08-18,Toulouse,Nantes,0.0,0.0,D,0.0,0.0,D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,M,M,M,M,M,M,M,M,M,M,1
7,2024-08-18,Angers SCO,RC Lens,0.0,1.0,A,0.0,1.0,A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,M,M,M,M,M,M,M,M,M,M,1
8,2024-08-18,Stade Rennais,Olympique Lyon,3.0,0.0,H,2.0,0.0,H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,M,M,M,M,M,M,M,M,M,M,1
9,2024-08-23,PSG,Montpellier,6.0,0.0,H,2.0,0.0,H,4.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,3,1,M,M,M,M,M,M,M,M,M,M,2
10,2024-08-24,Olympique Lyon,Monaco,0.0,2.0,A,0.0,0.0,D,0.0,1.0,3.0,0.0,0.0,1.0,2.0,0.0,0,3,L,W,M,M,M,M,M,M,M,M,2
11,2024-08-24,Lille,Angers SCO,2.0,0.0,H,1.0,0.0,H,2.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,3,0,W,L,M,M,M,M,M,M,M,M,2
12,2024-08-24,Saint-Étienne,Le Havre,0.0,2.0,A,0.0,0.0,D,0.0,1.0,1.0,4.0,0.0,0.0,1.0,1.0,0,0,L,L,M,M,M,M,M,M,M,M,2
