,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTGS,ATGS,HTGC,ATGC,HHGS,AHGS,HHGC,AHGC,HTP,ATP,HM1,AM1,HM2,AM2,HM3,AM3,HM4,AM4,HM5,AM5,MW
0,2024-08-15,Athletic,Getafe,1.0,1.0,D,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,M,M,M,M,M,M,M,M,M,M,1
1,2024-08-15,Real Betis,Girona,1.0,1.0,D,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,M,M,M,M,M,M,M,M,M,M,1
2,2024-08-16,Celta,Alavés,2.0,1.0,H,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,M,M,M,M,M,M,M,M,M,M,1
3,2024-08-16,Las Palmas,Sevilla FC,2.0,2.0,D,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,M,M,M,M,M,M,M,M,M,M,1
4,2024-08-17,Osasuna,Leganés,1.0,1.0,D,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,M,M,M,M,M,M,M,M,M,M,1
5,2024-08-17,Valencia,Barça,1.0,2.0,A,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,M,M,M,M,M,M,M,M,M,M,1
6,2024-08-18,Real Sociedad,Rayo Vallecano,1.0,2.0,A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,M,M,M,M,M,M,M,M,M,M,1
7,2024-08-18,Mallorca,Real Madrid,1.0,1.0,D,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,M,M,M,M,M,M,M,M,M,M,1
8,2024-08-19,Valladolid,Espanyol,1.0,0.0,H,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,M,M,M,M,M,M,M,M,M,M,1
9,2024-08-19,Villarreal,Atleti,2.0,2.0,D,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,M,M,M,M,M,M,M,M,M,M,1
10,2024-08-23,Celta,Valencia,3.0,1.0,H,2.0,1.0,2.0,1.0,1.0,2.0,0.0,1.0,1.0,1.0,3,0,W,L,M,M,M,M,M,M,M,M,2
11,2024-08-23,Sevilla FC,Villarreal,1.0,2.0,A,1.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1,1,D,D,M,M,M,M,M,M,M,M,2
12,2024-08-24,Osasuna,Mallorca,1.0,0.0,H,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1,1,D,D,M,M,M,M,M,M,M,M,2
13,2024-08-24,Barça,Athletic,2.0,1.0,H,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,3,1,W,D,M,M,M,M,M,M,M,M,2
14,2024-08-24,Getafe,Rayo Vallecano,0.0,0.0,D,0.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,1,3,D,W,M,M,M,M,M,M,M,M,2
15,2024-08-24,Espanyol,Real Sociedad,0.0,1.0,A,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,0,0,L,L,M,M,M,M,M,M,M,M,2
16,2024-08-25,Real Madrid,Valladolid,3.0,0.0,H,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1,3,D,W,M,M,M,M,M,M,M,M,2
17,2024-08-25,Leganés,Las Palmas,2.0,1.0,H,0.0,0.0,1.0,2.0,1.0,2.0,1.0,1.0,0.0,1.0,1,1,D,D,M,M,M,M,M,M,M,M,2
18,2024-08-25,Alavés,Real Betis,0.0,0.0,D,0.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0,1,L,D,M,M,M,M,M,M,M,M,2
19,2024-08-25,Atleti,Girona,3.0,0.0,H,1.0,0.0,2.0,1.0,2.0,1.0,2.0,0.0,2.0,1.0,1,1,D,D,M,M,M,M,M,M,M,M,2
20,2024-08-26,Villarreal,Celta,4.0,3.0,H,1.0,2.0,4.0,5.0,3.0,2.0,3.0,2.0,3.0,2.0,4,6,W,W,D,W,M,M,M,M,M,M,3
21,2024-08-27,Mallorca,Sevilla FC,0.0,0.0,D,0.0,0.0,1.0,3.0,2.0,4.0,0.0,2.0,1.0,2.0,1,1,L,L,D,D,M,M,M,M,M,M,3
22,2024-08-27,Rayo Vallecano,Barça,1.0,2.0,A,1.0,0.0,2.0,4.0,1.0,2.0,0.0,2.0,0.0,2.0,4,6,D,W,W,W,M,M,M,M,M,M,3
23,2024-08-28,Athletic,Valencia,1.0,0.0,H,1.0,0.0,2.0,2.0,3.0,5.0,2.0,2.0,1.0,3.0,1,0,L,L,D,L,M,M,M,M,M,M,3
24,2024-08-28,Valladolid,Leganés,0.0,0.0,D,0.0,0.0,1.0,3.0,3.0,2.0,1.0,1.0,0.0,0.0,3,4,L,W,W,D,M,M,M,M,M,M,3
25,2024-08-28,Real Sociedad,Alavés,1.0,2.0,A,1.0,1.0,2.0,1.0,2.0,2.0,0.0,1.0,0.0,0.0,3,1,W,D,L,L,M,M,M,M,M,M,3
26,2024-08-28,Atleti,Espanyol,0.0,0.0,D,0.0,0.0,5.0,0.0,2.0,2.0,3.0,0.0,2.0,1.0,4,0,W,L,D,L,M,M,M,M,M,M,3
27,2024-08-29,Girona,Osasuna,4.0,0.0,H,1.0,0.0,1.0,2.0,4.0,1.0,0.0,0.0,2.0,1.0,1,4,L,W,D,D,M,M,M,M,M,M,3
28,2024-08-29,Las Palmas,Real Madrid,1.0,1.0,D,1.0,0.0,3.0,4.0,4.0,1.0,1.0,1.0,1.0,0.0,1,4,L,W,D,D,M,M,M,M,M,M,3
29,2024-08-31,Barça,Valladolid,7.0,0.0,H,3.0,0.0,4.0,1.0,2.0,3.0,2.0,1.0,2.0,0.0,6,3,W,L,W,W,M,M,M,M,M,M,3
30,2024-08-31,Athletic,Atleti,0.0,1.0,A,0.0,0.0,3.0,5.0,3.0,2.0,3.0,3.0,1.0,2.0,4,5,W,D,L,W,D,D,M,M,M,M,4
31,2024-08-31,Espanyol,Rayo Vallecano,2.0,1.0,H,1.0,1.0,0.0,3.0,2.0,3.0,0.0,1.0,1.0,0.0,1,4,D,L,L,D,L,W,M,M,M,M,4
32,2024-08-31,Leganés,Mallorca,0.0,1.0,A,0.0,1.0,3.0,1.0,2.0,2.0,1.0,0.0,0.0,1.0,5,2,D,D,W,L,D,D,M,M,M,M,4
33,2024-08-31,Valencia,Villarreal,1.0,1.0,D,1.0,1.0,2.0,8.0,6.0,6.0,2.0,4.0,4.0,5.0,0,7,L,W,L,W,L,D,M,M,M,M,4
34,2024-09-01,Osasuna,Celta,3.0,2.0,H,2.0,1.0,2.0,8.0,5.0,6.0,0.0,4.0,2.0,3.0,4,6,L,L,W,W,D,W,M,M,M,M,4
35,2024-09-01,Alavés,Las Palmas,2.0,0.0,H,1.0,0.0,3.0,4.0,3.0,5.0,2.0,2.0,1.0,1.0,4,2,W,D,D,L,L,D,M,M,M,M,4
36,2024-09-01,Sevilla FC,Girona,0.0,2.0,A,0.0,1.0,3.0,5.0,4.0,4.0,2.0,1.0,2.0,2.0,2,4,D,W,L,L,D,D,M,M,M,M,4
