,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,RES,HTGS,ATGS,HTGC,ATGC,HHGS,AHGS,HHGC,AHGC,HTP,ATP,HM1,AM1,HM2,AM2,HM3,AM3,HM4,AM4,HM5,AM5,MW
0,2024-08-17,Genoa,Inter,2.0,2.0,D,1.0,1.0,D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,M,M,M,M,M,M,M,M,M,M,1
1,2024-08-17,Parma,Fiorentina,1.0,1.0,D,1.0,0.0,H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,M,M,M,M,M,M,M,M,M,M,1
2,2024-08-17,Empoli,Monza,0.0,0.0,D,0.0,0.0,D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,M,M,M,M,M,M,M,M,M,M,1
3,2024-08-17,Milan,Torino,2.0,2.0,D,0.0,1.0,A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,M,M,M,M,M,M,M,M,M,M,1
4,2024-08-18,Bologna,Udinese,1.0,1.0,D,0.0,0.0,D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,M,M,M,M,M,M,M,M,M,M,1
5,2024-08-18,Verona,Napoli,3.0,0.0,H,0.0,0.0,D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,M,M,M,M,M,M,M,M,M,M,1
6,2024-08-18,Cagliari,Roma,0.0,0.0,D,0.0,0.0,D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,M,M,M,M,M,M,M,M,M,M,1
7,2024-08-18,Lazio,Venezia FC,3.0,1.0,H,2.0,1.0,H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,M,M,M,M,M,M,M,M,M,M,1
8,2024-08-19,Lecce,Atalanta,0.0,4.0,A,0.0,2.0,A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,M,M,M,M,M,M,M,M,M,M,1
9,2024-08-19,Juventus,Como 1907,3.0,0.0,H,2.0,0.0,H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,M,M,M,M,M,M,M,M,M,M,1
10,2024-08-24,Parma,Milan,2.0,1.0,H,1.0,0.0,H,1.0,2.0,1.0,2.0,1.0,0.0,0.0,1.0,1,1,D,D,M,M,M,M,M,M,M,M,2
11,2024-08-24,Udinese,Lazio,2.0,1.0,H,1.0,0.0,H,1.0,3.0,1.0,1.0,0.0,2.0,0.0,1.0,1,3,D,W,M,M,M,M,M,M,M,M,2
12,2024-08-24,Inter,Lecce,2.0,0.0,H,1.0,0.0,H,2.0,0.0,2.0,4.0,1.0,0.0,1.0,2.0,1,0,D,L,M,M,M,M,M,M,M,M,2
13,2024-08-24,Monza,Genoa,0.0,1.0,A,0.0,1.0,A,0.0,2.0,0.0,2.0,0.0,1.0,0.0,1.0,1,1,D,D,M,M,M,M,M,M,M,M,2
14,2024-08-25,Fiorentina,Venezia FC,0.0,0.0,D,0.0,0.0,D,1.0,1.0,1.0,3.0,0.0,1.0,1.0,2.0,1,0,D,L,M,M,M,M,M,M,M,M,2
15,2024-08-25,Torino,Atalanta,2.0,1.0,H,1.0,1.0,D,2.0,4.0,2.0,0.0,1.0,2.0,0.0,0.0,1,3,D,W,M,M,M,M,M,M,M,M,2
16,2024-08-25,Napoli,Bologna,3.0,0.0,H,1.0,0.0,H,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0,1,L,D,M,M,M,M,M,M,M,M,2
17,2024-08-25,Roma,Empoli,1.0,2.0,A,0.0,1.0,A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,D,D,M,M,M,M,M,M,M,M,2
18,2024-08-26,Cagliari,Como 1907,1.0,1.0,D,1.0,0.0,H,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,1,0,D,L,M,M,M,M,M,M,M,M,2
19,2024-08-26,Verona,Juventus,0.0,3.0,A,0.0,2.0,A,3.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,3,3,W,W,M,M,M,M,M,M,M,M,2
20,2024-08-30,Venezia FC,Torino,0.0,1.0,A,0.0,0.0,D,1.0,4.0,3.0,3.0,1.0,2.0,2.0,1.0,1,4,D,W,L,D,M,M,M,M,M,M,3
21,2024-08-30,Inter,Atalanta,4.0,0.0,H,2.0,0.0,H,4.0,5.0,2.0,2.0,2.0,3.0,1.0,1.0,4,3,W,L,D,W,M,M,M,M,M,M,3
22,2024-08-31,Bologna,Empoli,1.0,1.0,D,1.0,1.0,D,1.0,2.0,4.0,1.0,0.0,1.0,1.0,0.0,1,4,L,W,D,D,M,M,M,M,M,M,3
23,2024-08-31,Lecce,Cagliari,1.0,0.0,H,1.0,0.0,H,0.0,1.0,6.0,1.0,0.0,1.0,3.0,0.0,0,2,L,D,L,D,M,M,M,M,M,M,3
24,2024-08-31,Lazio,Milan,2.0,2.0,D,0.0,1.0,A,4.0,3.0,3.0,4.0,2.0,0.0,2.0,2.0,3,1,L,L,W,D,M,M,M,M,M,M,3
25,2024-08-31,Napoli,Parma,2.0,1.0,H,0.0,1.0,A,3.0,3.0,3.0,2.0,1.0,2.0,0.0,0.0,3,4,W,W,L,D,M,M,M,M,M,M,3
26,2024-09-01,Fiorentina,Monza,2.0,2.0,D,1.0,2.0,A,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,2,1,D,L,D,D,M,M,M,M,M,M,3
27,2024-09-01,Genoa,Verona,0.0,2.0,A,0.0,0.0,D,3.0,3.0,2.0,3.0,2.0,0.0,1.0,2.0,4,3,W,L,D,W,M,M,M,M,M,M,3
28,2024-09-01,Juventus,Roma,0.0,0.0,D,0.0,0.0,D,6.0,1.0,0.0,2.0,4.0,0.0,0.0,1.0,6,1,W,L,W,D,M,M,M,M,M,M,3
29,2024-09-01,Udinese,Como 1907,1.0,0.0,H,1.0,0.0,H,3.0,1.0,2.0,4.0,1.0,0.0,0.0,3.0,4,1,W,D,D,L,M,M,M,M,M,M,3
30,2024-09-14,Como 1907,Bologna,2.0,2.0,D,1.0,0.0,H,1.0,2.0,5.0,5.0,0.0,1.0,4.0,2.0,1,2,L,D,D,L,L,D,M,M,M,M,4
31,2024-09-14,Empoli,Juventus,0.0,0.0,D,0.0,0.0,D,3.0,6.0,2.0,0.0,2.0,4.0,1.0,0.0,5,7,D,D,W,W,D,W,M,M,M,M,4
32,2024-09-14,Milan,Venezia FC,4.0,0.0,H,4.0,0.0,H,5.0,1.0,6.0,4.0,1.0,1.0,2.0,2.0,2,1,D,L,L,D,D,L,M,M,M,M,4
33,2024-09-15,Genoa,Roma,1.0,1.0,D,0.0,1.0,A,3.0,1.0,4.0,2.0,2.0,0.0,1.0,1.0,4,2,L,D,W,L,D,D,M,M,M,M,4
